sequence_id	cluster_id	start	end	average_p	max_p	type	alkaloid_probability	nrp_probability	polyketide_probability	ripp_probability	saccharide_probability	terpene_probability	proteins	domains
k141_100317	k141_100317_cluster_1	13	4192	0.9894832441063537	0.9963187959097602	Unknown	0.042611959916546316	0.16837037794773158	0.2056861144905282	0.13664388959180418	0.07999999999999996	0.06841224112645872	k141_100317_1;k141_100317_2;k141_100317_3;k141_100317_4;k141_100317_5	PF01041;PF01041;PF02543;PF16861;PF19547
k141_107898	k141_107898_cluster_1	410	13784	0.9578727445115427	0.9663110607720233	Unknown	0.030120417599163285	0.20895614087291403	0.22076393125458726	0.12036423512056349	0.040000000000000036	0.060956873631125896	k141_107898_10;k141_107898_11;k141_107898_12;k141_107898_3;k141_107898_4;k141_107898_5;k141_107898_6;k141_107898_7;k141_107898_8;k141_107898_9	PF00153;PF00153;PF00153;PF00393;PF00702;PF03992;PF03992;PF07714
k141_110035	k141_110035_cluster_1	1423	8662	0.9840084182181336	0.997049976929293	Unknown	0.05442348732788149	0.23625290784156516	0.34022771537179053	0.17385448995146324	0.0	0.08530439650879518	k141_110035_3;k141_110035_4;k141_110035_5;k141_110035_6	PF00270;PF00271;PF07714;PF13639;PF13920
k141_114483	k141_114483_cluster_1	22249	30367	0.9039466491228286	0.9437884882933626	Unknown	0.051879521602073986	0.23622695043013764	0.25515009876171124	0.20073619577018176	0.020000000000000018	0.1006400582751329	k141_114483_32;k141_114483_33;k141_114483_34;k141_114483_35;k141_114483_36;k141_114483_37;k141_114483_38;k141_114483_39;k141_114483_40;k141_114483_41;k141_114483_42	PF00365;PF01755;PF01755;PF03457;PF05050;PF05118;PF05670;PF05704
k141_115285	k141_115285_cluster_1	4703	20917	0.9725515891464537	0.9936898830270834	Unknown	0.08425866448252317	0.24440733436836726	0.2619770009413839	0.21646755709063992	0.0	0.10831758385535795	k141_115285_10;k141_115285_4;k141_115285_5;k141_115285_6;k141_115285_7;k141_115285_8;k141_115285_9	PF00168;PF00168;PF00168;PF00225;PF00270;PF00271;PF00385;PF00493;PF16124;PF16796
k141_119295	k141_119295_cluster_1	14910	19263	0.9787528292861146	0.9898033473709282	Terpene	0.010000000000000009	0.0	0.0	0.010000000000000009	0.0	0.96	k141_119295_20;k141_119295_21;k141_119295_22;k141_119295_23	PF00348;PF00494;PF01593;PF05834;PF13450
k141_122185	k141_122185_cluster_1	4691	11944	0.880504235081868	0.8963767967183247	Unknown	0.012403697954129433	0.06755368516661608	0.05681421918081009	0.2810085891241738	0.0	0.024260033535997372	k141_122185_10;k141_122185_11;k141_122185_12;k141_122185_13;k141_122185_14;k141_122185_9	PF04055;PF05118;PF19547
k141_12415	k141_12415_cluster_1	572	8406	0.8616947183649935	0.9173294350409086	Unknown	0.013914902487914382	0.05953285735218161	0.08234472105708146	0.23516135225549473	0.050000000000000044	0.02596528696938405	k141_12415_10;k141_12415_2;k141_12415_3;k141_12415_4;k141_12415_5;k141_12415_6;k141_12415_7;k141_12415_8;k141_12415_9	PF01041;PF04055;PF13394;PF19547
k141_124256	k141_124256_cluster_1	3784	48583	0.9670113070142508	0.9999999821297547	Polyketide	0.0	0.23666666666666658	0.9299999999999999	0.010000000000000009	0.030000000000000027	0.010000000000000009	k141_124256_10;k141_124256_11;k141_124256_12;k141_124256_13;k141_124256_14;k141_124256_15;k141_124256_16;k141_124256_17;k141_124256_6;k141_124256_7;k141_124256_8;k141_124256_9	PF00005;PF00106;PF00106;PF00106;PF00107;PF00108;PF00109;PF00109;PF00109;PF00109;PF00109;PF00109;PF00109;PF00109;PF00109;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00664;PF00665;PF00698;PF00698;PF00733;PF01648;PF02801;PF02801;PF02801;PF02801;PF02801;PF02801;PF02801;PF02801;PF02801;PF03060;PF03756;PF07883;PF08242;PF08659;PF08659;PF08659;PF08659;PF13522;PF13537;PF13561;PF13561;PF13649;PF13683;PF14765;PF14765;PF14765;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197
k141_125038	k141_125038_cluster_1	3	3996	0.8921028999178245	0.9747196448417434	Unknown	0.008126460709961925	0.4544393455972393	0.2876717814315257	0.18783988463081613	0.0	0.014665905098633192	k141_125038_1;k141_125038_2;k141_125038_3;k141_125038_4;k141_125038_5	PF00561;PF00587;PF02824;PF03129;PF05114;PF05114;PF07973;PF12146;PF12697
