sequence_id	cluster_id	start	end	average_p	max_p	type	alkaloid_probability	nrp_probability	polyketide_probability	ripp_probability	saccharide_probability	terpene_probability	proteins	domains
k141_1048287	k141_1048287_cluster_1	129	3952	0.9576711133347096	0.9634287616303627	Terpene	0.03307300834554183	0.1325449871255493	0.1561327244259112	0.12238350526201303	0.010000000000000009	0.5119459228619581	k141_1048287_1;k141_1048287_2;k141_1048287_3	PF00432;PF01839;PF01839;PF01839;PF13243;PF13249;PF14104
k141_1056062	k141_1056062_cluster_1	2674	6382	0.9994303702764117	0.99994440507631	Unknown	0.07743685894095931	0.12113784596336108	0.1310082719210669	0.11305416847424932	0.27	0.1925965590021026	k141_1056062_4;k141_1056062_5;k141_1056062_6	PF00078;PF00098;PF17917;PF17919;PF17921
k141_1065989	k141_1065989_cluster_1	2	2703	0.9285240294886559	0.9320657838028591	NRP	0.028140484695933776	0.7056596698632018	0.12331252035854456	0.028834477112751333	0.0	0.027846524879108325	k141_1065989_1;k141_1065989_2;k141_1065989_3	PF00550;PF00668;PF03781;PF03781
k141_1067118	k141_1067118_cluster_1	66	11014	0.9405868454632782	0.999159453910936	Unknown	0.10891056910569108	0.07419512195121958	0.12455749128919857	0.07415331010452964	0.030000000000000027	0.22232055749128932	k141_1067118_1;k141_1067118_2;k141_1067118_3;k141_1067118_4;k141_1067118_5;k141_1067118_6;k141_1067118_7;k141_1067118_8;k141_1067118_9	PF00067;PF00494;PF00501;PF00512;PF01209;PF01222;PF01590;PF01590;PF02080;PF02254;PF02353;PF02518;PF05175;PF06966;PF07021;PF08241;PF08242;PF13185;PF13185;PF13489;PF13492;PF13649;PF13847
k141_1113628	k141_1113628_cluster_1	2	4104	0.9529219198530615	0.9960635319127908	Unknown	0.030699400980958802	0.2040590288535553	0.2972635182541161	0.1712912746098424	0.010000000000000009	0.21522163811030293	k141_1113628_1;k141_1113628_2;k141_1113628_3;k141_1113628_4	PF00027;PF01636;PF17914
k141_1161762	k141_1161762_cluster_1	556	6805	0.9991458856946095	0.9994646818418562	NRP	0.010000000000000009	0.8	0.16000000000000003	0.07999999999999996	0.010000000000000009	0.0	k141_1161762_2;k141_1161762_3;k141_1161762_4	PF00501;PF00550;PF00668;PF00668;PF00668;PF02310;PF04055;PF13193
k141_1195453	k141_1195453_cluster_1	1	2661	0.8791592099112863	0.8871646022929343	NRP	0.014090091257694004	0.5037012894572265	0.043837736343673495	0.08269327957558048	0.0	0.01604116000601874	k141_1195453_1;k141_1195453_2;k141_1195453_3	PF00668;PF02310;PF04055
k141_120304	k141_120304_cluster_1	1116	8573	0.9602554594339247	0.9943391695775441	NRP	0.0	0.6799999999999999	0.15000000000000002	0.020000000000000018	0.28	0.050000000000000044	k141_120304_2;k141_120304_3;k141_120304_4;k141_120304_5	PF00501;PF00535;PF00550;PF00668;PF00975;PF01041;PF01041;PF01266;PF05199;PF10111;PF13193;PF13641
k141_1217711	k141_1217711_cluster_1	760	6917	0.9999810732022018	0.999998320874505	Unknown	0.07547393857532525	0.06852494758315109	0.07835696795003178	0.08698312200784641	0.35	0.2233293712157267	k141_1217711_1;k141_1217711_2;k141_1217711_3	PF00078;PF00665;PF03732;PF08284;PF17917;PF17919;PF17921
k141_1220863	k141_1220863_cluster_1	770	6507	0.9810498146138317	0.9995042766781832	Unknown	0.10176671420741212	0.09632917813774011	0.10552590436932685	0.11138738164955231	0.29000000000000004	0.2019771667645266	k141_1220863_2;k141_1220863_3;k141_1220863_4	PF00078;PF00665;PF01026;PF01026;PF17917;PF17919;PF17921
k141_1286116	k141_1286116_cluster_1	3	9884	0.9632504488384849	0.9900209447735921	Polyketide	0.0	0.06999999999999995	0.94	0.020000000000000018	0.0	0.0	k141_1286116_1;k141_1286116_2;k141_1286116_3;k141_1286116_4	PF00106;PF00108;PF00109;PF00185;PF00501;PF00550;PF00550;PF00561;PF00685;PF00698;PF02729;PF02801;PF08659;PF08659;PF12146;PF12697;PF13469;PF16197
k141_1307386	k141_1307386_cluster_1	1	2154	0.9401634364584928	0.9460515609790071	Unknown	0.07162077104642006	0.14591660110149474	0.19656176239181733	0.0129189614476789	0.16000000000000003	0.15153422501966962	k141_1307386_1;k141_1307386_2;k141_1307386_3;k141_1307386_4	PF00483;PF00550;PF00890;PF01266;PF01494;PF04820;PF12804;PF12831;PF13450
k141_13442	k141_13442_cluster_1	3	1739	0.87429972180188	0.8824259098461265	Unknown	0.07525005552455466	0.24496267832373486	0.26223428367138946	0.21426851025307325	0.010000000000000009	0.10927885323669373	k141_13442_1;k141_13442_2;k141_13442_3	PF07688;PF07688;PF13671
k141_1345286	k141_1345286_cluster_1	2	5040	0.9997950114789917	0.9999891358097598	NRP	0.020000000000000018	0.94	0.030000000000000027	0.0	0.0	0.0	k141_1345286_1;k141_1345286_2;k141_1345286_3	PF00501;PF00501;PF00550;PF00668;PF00668;PF00668;PF13193
k141_146461	k141_146461_cluster_1	2	7140	0.999843934645784	0.9999950631047242	NRP	0.0	1.0	0.040000000000000036	0.0	0.0	0.06000000000000005	k141_146461_1;k141_146461_2;k141_146461_3	PF00501;PF00501;PF00501;PF00550;PF00550;PF00668;PF00668;PF00668;PF00668;PF08241;PF08242;PF13193;PF13193;PF13489;PF13649;PF13847
k141_179464	k141_179464_cluster_1	374	9534	0.9925670077350035	0.9998008697935902	Unknown	0.10176671420741212	0.09632917813774011	0.10552590436932685	0.11138738164955231	0.29000000000000004	0.2019771667645266	k141_179464_2;k141_179464_3;k141_179464_4	PF00078;PF00633;PF00665;PF01026;PF17917;PF17919;PF17921
