sequence_id	cluster_id	start	end	average_p	max_p	type	alkaloid_probability	nrp_probability	polyketide_probability	ripp_probability	saccharide_probability	terpene_probability	proteins	domains
k141_106904	k141_106904_cluster_1	2	1270	0.8926435991099207	0.8951662364425012	Polyketide	0.012005370865828313	0.22829721781550472	0.5809450743996518	0.06548064580282276	0.0	0.045366654281884466	k141_106904_1;k141_106904_2;k141_106904_3	PF00550;PF01648;PF02801
k141_116751	k141_116751_cluster_1	19193	24265	0.9261742760479544	0.9602260372449701	Polyketide	0.010000000000000009	0.10999999999999999	0.78	0.020000000000000018	0.020000000000000018	0.06499999999999995	k141_116751_18;k141_116751_19;k141_116751_20;k141_116751_21;k141_116751_22;k141_116751_23;k141_116751_24	PF00106;PF00109;PF00195;PF01648;PF02797;PF02801;PF07977;PF08241;PF08242;PF08392;PF08541;PF08545;PF08659;PF13489;PF13561;PF13649;PF13847
k141_12189	k141_12189_cluster_1	1	5228	0.9904134855756345	0.9973121071317127	RiPP	0.021410105757931897	0.03699177438307888	0.35563454759106927	0.5145534665099882	0.0	0.032115158636897845	k141_12189_1;k141_12189_2;k141_12189_3;k141_12189_4;k141_12189_5	PF00005;PF00195;PF00664;PF00664;PF01494;PF02797;PF04140;PF08392;PF08541
k141_129843	k141_129843_cluster_1	34800	39020	0.8751829936821616	0.9053348306667575	Terpene	0.12266002844950219	0.017876046180819727	0.017620000661616286	0.03554252538952685	0.0	0.7232893909821694	k141_129843_36;k141_129843_37;k141_129843_38;k141_129843_39	PF00494;PF01266;PF01266;PF01593;PF01593;PF04116;PF13450;PF13450
k141_132932	k141_132932_cluster_1	3	2307	0.9842342102376089	0.9900818437290372	Terpene	0.05157894736842106	0.011842105263157987	0.011315789473684279	0.012368421052631695	0.0	0.8913157894736842	k141_132932_1;k141_132932_2;k141_132932_3	PF00348;PF00494;PF01266;PF01593;PF13450
k141_142149	k141_142149_cluster_1	2	1381	0.8887634992662357	0.8889800953488259	Unknown	0.12584502629095962	0.2092722539445121	0.23574431326246204	0.08974690284953724	0.0	0.2914503426861714	k141_142149_1;k141_142149_2;k141_142149_3	PF00732;PF01266;PF05834;PF08669;PF12802;PF13450
k141_145885	k141_145885_cluster_1	2	1046	0.9300362845750525	0.9385724611406213	Polyketide	0.09391591996680304	0.016924509698676204	0.5397166344585427	0.016472778365328233	0.0	0.1058692245960483	k141_145885_1;k141_145885_2;k141_145885_3	PF01266;PF01494;PF02797;PF04140;PF04191;PF08541;PF12831
k141_1560	k141_1560_cluster_1	1	8588	0.8120430711851128	0.8192806873022492	Unknown	0.08767097847026573	0.08264205817186576	0.18557628718386676	0.04787807275849043	0.030000000000000027	0.10244293727263365	k141_1560_1;k141_1560_2;k141_1560_3;k141_1560_4;k141_1560_5;k141_1560_6;k141_1560_7	PF00355;PF01546;PF02668;PF02668;PF07687;PF07690;PF07690;PF07690;PF08669
k141_158881	k141_158881_cluster_1	2304	8654	0.9859950395154988	0.9901867552162561	Unknown	0.030985491365937423	0.439811757400705	0.28317866502630806	0.10057322335960994	0.0	0.05413894317377599	k141_158881_10;k141_158881_5;k141_158881_6;k141_158881_7;k141_158881_8;k141_158881_9	PF00378;PF00378;PF00668;PF01154;PF04072;PF05598;PF08540;PF13359;PF16113;PF16113
k141_16465	k141_16465_cluster_1	622	5052	0.9951479670916685	0.9986133566423512	Terpene	0.010000000000000009	0.0	0.0	0.020000000000000018	0.0	0.94	k141_16465_2;k141_16465_3;k141_16465_4;k141_16465_5	PF00348;PF00494;PF01593;PF05834;PF12831;PF13450
k141_173096	k141_173096_cluster_1	2	896	0.9750269736216369	0.9761081022876258	Unknown	0.0	0.0	0.26471705092293374	0.0	0.12306646131646148	0.49626691282573643	k141_173096_1;k141_173096_2;k141_173096_3	PF00067;PF00067;PF00067
k141_190602	k141_190602_cluster_1	412	4969	0.9965514896015027	0.9996227522640414	Unknown	0.07743685894095931	0.12113784596336108	0.1310082719210669	0.11305416847424932	0.27	0.1925965590021026	k141_190602_2;k141_190602_3;k141_190602_4	PF00078;PF17917;PF17919;PF17921
k141_199278	k141_199278_cluster_1	35231	45679	0.9700060058045493	0.9919988548485131	Terpene	0.07300751879699252	0.034699248120300674	0.08617293233082701	0.008939849624060248	0.040000000000000036	0.6930300751879699	k141_199278_34;k141_199278_35;k141_199278_36;k141_199278_37;k141_199278_38;k141_199278_39;k141_199278_40;k141_199278_41;k141_199278_42;k141_199278_43	PF00348;PF00494;PF00890;PF00890;PF00891;PF01078;PF01266;PF01593;PF01593;PF08240;PF13450;PF13450;PF16864;PF17863
k141_200080	k141_200080_cluster_1	1	3021	0.9577738889134122	0.9738925138375496	Terpene	0.019362399857742907	0.037431138308372414	0.03890119379818813	0.05713429982602447	0.0	0.6610391052426536	k141_200080_1;k141_200080_2;k141_200080_3;k141_200080_4	PF00293;PF00494;PF01593
k141_225652	k141_225652_cluster_1	49365	53319	0.880286030934866	0.905452620208831	Polyketide	0.0062813754628769924	0.10362432132555977	0.7379226971680533	0.016766415018156344	0.0	0.04868624727951376	k141_225652_39;k141_225652_40;k141_225652_41	PF00155;PF00195;PF00254;PF00254;PF00254;PF00254;PF02797;PF08392;PF08541
k141_226691	k141_226691_cluster_1	1	2595	0.9619807535797581	0.9934243549438032	Unknown	0.01427449578066331	0.058114933145673175	0.0615502074077553	0.04956655887563566	0.0	0.02360315741718788	k141_226691_1;k141_226691_2;k141_226691_3	PF00202;PF00474;PF06339
k141_228645	k141_228645_cluster_1	3	29343	0.9974474220550179	0.9999999818130186	Polyketide	0.010000000000000009	0.42000000000000004	0.89	0.0	0.0	0.0	k141_228645_1;k141_228645_2;k141_228645_3;k141_228645_4;k141_228645_5;k141_228645_6	PF00106;PF00106;PF00106;PF00109;PF00109;PF00109;PF00109;PF00109;PF00109;PF00378;PF00378;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00668;PF00698;PF00698;PF01636;PF02801;PF02801;PF02801;PF02801;PF02801;PF02801;PF08659;PF08659;PF08659;PF13561;PF13561;PF13561;PF14765;PF14765;PF14765;PF16113;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197
k141_249796	k141_249796_cluster_1	210	2376	0.9887958300451137	0.9987743013076622	Unknown	0.004018081656082195	0.013930417707878728	0.055891612932074564	0.015278281112541259	0.0	0.005587196750294621	k141_249796_1;k141_249796_2;k141_249796_3	PF00202;PF00583;PF06339
k141_252618	k141_252618_cluster_1	403	2183	0.9965514896015027	0.9996227522640414	Unknown	0.07743685894095931	0.12113784596336108	0.1310082719210669	0.11305416847424932	0.27	0.1925965590021026	k141_252618_2;k141_252618_3;k141_252618_4	PF00078;PF17917;PF17919;PF17921
k141_255606	k141_255606_cluster_1	141	3214	0.9912237315170173	0.9952605020758721	Terpene	0.022778635778635814	0.03071733860105952	0.029763670647391494	0.03682532698811769	0.0	0.8442914908263746	k141_255606_1;k141_255606_2;k141_255606_3	PF00494;PF01593;PF05834;PF13450
k141_26166	k141_26166_cluster_1	22192	24957	0.8553448728441904	0.8807032783930324	Terpene	0.11234817813765186	0.017709726014499716	0.01795264099425664	0.035999905846907154	0.0	0.7444016570944356	k141_26166_24;k141_26166_25;k141_26166_26	PF00494;PF01266;PF01593;PF04116;PF13450
k141_273652	k141_273652_cluster_1	2	3028	0.9830054328276936	0.9922486264994317	Unknown	0.027053982471010984	0.2907576422133925	0.419514787397957	0.03650198459188103	0.040000000000000036	0.12041574962533219	k141_273652_1;k141_273652_2;k141_273652_3;k141_273652_4;k141_273652_5	PF00107;PF00196;PF00765;PF03472;PF08240;PF13191;PF13602
k141_292318	k141_292318_cluster_1	2	10066	0.9882985333900433	0.9926526494259977	Polyketide	0.020000000000000018	0.21999999999999997	0.87	0.0	0.010000000000000009	0.0	k141_292318_1;k141_292318_2;k141_292318_3	PF00106;PF00109;PF00109;PF00109;PF00296;PF00550;PF00550;PF00550;PF02801;PF02801;PF02801;PF08242;PF08659;PF08659;PF13561;PF13847;PF16197
k141_294921	k141_294921_cluster_1	1058	7056	0.9738735511967567	0.9746525315768858	Terpene	0.0915789473684211	0.021842105263157996	0.051315789473684204	0.012368421052631695	0.030000000000000027	0.7713157894736842	k141_294921_2;k141_294921_3;k141_294921_4;k141_294921_5;k141_294921_6;k141_294921_7	PF00348;PF00494;PF00891;PF01266;PF01593;PF13450;PF13489;PF16864
k141_300221	k141_300221_cluster_1	23	1988	0.9546785829376985	0.9606399885027501	Polyketide	0.05183845892505645	0.05154792392923324	0.5854393027437111	0.039042267033031264	0.0	0.07401149639010596	k141_300221_1;k141_300221_2;k141_300221_3	PF01494;PF02797;PF04140;PF08541
k141_30048	k141_30048_cluster_1	7425	10784	0.8982827801352344	0.9475211251190674	Terpene	0.015030258030258037	0.03933070721442822	0.03887599975972067	0.046127916290707005	0.0	0.7702276717625555	k141_30048_12;k141_30048_13;k141_30048_14	PF00494;PF00890;PF01593;PF05834;PF13450
k141_316350	k141_316350_cluster_1	9680	13358	0.807747202788494	0.8107153160884578	Unknown	0.060357142857142776	0.03285714285714281	0.4235714285714286	0.001071428571428612	0.0	0.17107142857142865	k141_316350_10;k141_316350_11;k141_316350_9	PF00067;PF00106;PF01648;PF08659;PF13561;PF17837
k141_31833	k141_31833_cluster_1	355	6156	0.9776612598431449	0.9957932616016036	Terpene	0.004552263802263812	0.04397572885944967	0.04618371981744063	0.06466687732966792	0.020000000000000018	0.700741380276264	k141_31833_2;k141_31833_3;k141_31833_4;k141_31833_5;k141_31833_6;k141_31833_7	PF00494;PF00890;PF01593;PF01636;PF05834;PF13450
k141_324736	k141_324736_cluster_1	1453	46252	0.9681632610078776	0.9999999821543394	Polyketide	0.0	0.23666666666666658	0.9299999999999999	0.010000000000000009	0.030000000000000027	0.010000000000000009	k141_324736_10;k141_324736_11;k141_324736_12;k141_324736_13;k141_324736_14;k141_324736_15;k141_324736_4;k141_324736_5;k141_324736_6;k141_324736_7;k141_324736_8;k141_324736_9	PF00005;PF00106;PF00106;PF00106;PF00107;PF00108;PF00109;PF00109;PF00109;PF00109;PF00109;PF00109;PF00109;PF00109;PF00109;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00550;PF00664;PF00665;PF00698;PF00698;PF00733;PF01648;PF02801;PF02801;PF02801;PF02801;PF02801;PF02801;PF02801;PF02801;PF02801;PF03060;PF03756;PF07883;PF08242;PF08659;PF08659;PF08659;PF08659;PF13522;PF13537;PF13561;PF13561;PF13649;PF13683;PF14765;PF14765;PF14765;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197;PF16197
k141_325581	k141_325581_cluster_1	282	5795	0.9050315513525616	0.9416706863797261	Terpene	0.0065059317559318375	0.061702145781704965	0.05079245882397643	0.06714293863314669	0.0	0.7524233743878787	k141_325581_2;k141_325581_3;k141_325581_4;k141_325581_5;k141_325581_6;k141_325581_7	PF00494;PF01593;PF04116;PF04542;PF05834;PF13450
